Date;Incoming
2013-01;48592.46
2013-02;36176.52
2013-03;65809.77
2013-04;76202.86
2013-05;124755.81
2013-06;118833.85
2013-07;72312.12
2013-08;42192.18
2013-09;55301.34
2013-10;60859.49
2013-11;71165.93
2013-12;69773.49
2014-01;33047.31
2014-02;66153.03
2014-03;80145.1
2014-04;87140.94
2014-05;105837.3
2014-06;84734.16
2014-07;102412.97
2014-08;49841.71
2014-09;77155.13
2014-10;130071.93
2014-11;94457.39
2014-12;88772.63
2015-01;73186.63
2015-02;100045.58
2015-03;130299.89
2015-04;144250.93
2015-05;133576.06
2015-06;104177.21
2015-07;112970.43
2015-08;73470.59
2015-09;146321.91
2015-10;123582.55
2015-11;155008.02
2015-12;114873.89
2016-01;94216.91
2016-02;110238.04
2016-03;147128.2
2016-04;199989.69
2016-05;203496.61
2016-06;196117.2
2016-07;128249.09
2016-08;186047.46
2016-09;221991.78
2016-10;225368.62
2016-11;198465.53
2016-12;181449.36
2017-01;123631.93
2017-02;199087.98
2017-03;253624.27
2017-04;187984.46
2017-05;220357.89
2017-06;216675.88
2017-07;245209.65
2017-08;175054.23
2017-09;194133.09
2017-10;263683.89
2017-11;223537.78
2017-12;182736.83
2018-01;165408.66
2018-02;273374.88
2018-03;229946.06
2018-04;295688.21
2018-05;223193.5
2018-06;200867.54
2018-07;202056.21
2018-08;157210.23
2018-09;193226
2018-10;235461.87
2018-11;221131.2
2018-12;131061.79
2019-01;145218.6
2019-02;206279.97
2019-03;334330.73
2019-04;250969.6
2019-05;239076.66
2019-06;176472.51
2019-07;198222.93
2019-08;151951.14
2019-09;215806.99
2019-10;259520.99
2019-11;258499.61
2019-12;134642.91
2020-01;141150.75
2020-02;208204.69
2020-03;128945.40
2020-04;3005.90
2020-05;29353.84
2020-06;65000
2020-07;115000
2020-08;95000
2020-09;135000
2020-10;145000
2020-11;185000
2020-12;125000
